TERMODINAMICA LTDA.;Av. Villazón No 3671;Internacional;43, 44, 45;http://www.termodinamicaltd.com/?lang=es;NO TIENE 
TRANSPORTES AEREOS BOLIVIANOS - TAB;Av, Killmann 1691;Bolivia;47;http://tab-bolivia.com/;https://www.facebook.com/pages/Transportes-A%C3%A9reos-Bolivianos/114977045184330?fref=ts&rf=113155655361959
ORGANICA DEL SUR SRL;C. Libertador Bolivar s/n Sumumpaya Sud Colcapirhua;Area Externa;2A42E;NO TIENE;NO TIENE 
PASTILLAS 5;VILLA COSMOS;Pastillas;5;NO TIENE;NO TIENE 
BURGER & FRIES BOLIVIA SRL;BARRIO LA BELGICA C. 8 Nº 3010 3ER ANILLO EXTERNO ENTRE Av. CANAL COTOCA Y Av. VIRGEN DE COTOCA,;Plaza de Comidas;21;NO TIENE;NO TIENE 
ALZER REPRESENTACIONES;Av. Blanco Galindo 268 entre Heroes nacionales y Caracoles;Internacional;27, 28;NO TIENE;NO TIENE 
PIL ANDINA S.A.;Av. BLANCO GALINDO KM 10,5;Area Externa;3C5E;http://www.pilandina.com.bo/;https://www.facebook.com/pages/Pil-Andina-SA/273703406168615?fref=ts
PIL ANDINA S.A.;Av. BLANCO GALINDO KM 10,5;Plaza de Comidas;20;http://www.pilandina.com.bo/;https://www.facebook.com/pages/Pil-Andina-SA/273703406168615?fref=ts
SERVICIO NACIONAL DE PROPIEDAD INTELECTUAL (SENAPI);C. Potosí y Colón N° 1278, Edificio Atalaya, piso 4.;Bolivia;79;http://www.senapi.gob.bo/index.asp;NO TIENE 
OPTICA MUNDO VISION;C. ANGOSTURA Nº 1568;Bicentenario;84, 85;NO TIENE;https://www.facebook.com/pages/Optica-Mundo-Vision/275225549354975?fref=ts
MY HOUSE;Av. AMERICA 1196;Bicentenario;74;NO TIENE;NO TIENE 
RESTAURANT CHURRASQUERIA BUFALO;Av. DORBIGNI S/N ENTRE ANTOFAGASTA Y CARACOLES;Plaza de Comidas;2;NO TIENE;https://www.facebook.com/pages/Churrasqueria-El-Bufalo/1511310485764876?fref=ts
J&J INDUSTRIES S.A.;Av. BLANCO GALINDO KM 6 1/2;Bolivia;31, 32;NO TIENE;NO TIENE 
SEGURIDAD ELECTRONICA INTEGRADA SEI;1;Internacional;67;NO TIENE;https://www.facebook.com/sei.seguridadelectronicaintegrada?fref=ts
FERCA SRL;Av. BALLIVIAN Nº 537;Plaza de Comidas;9;NO TIENE;NO TIENE 
FERCA SRL;Av. GENERAL ACHA;Plaza de Comidas;8;NO TIENE;NO TIENE 
CHOCOMANIA;Av. AMERICA ESQ GABRIEL RENE MORENO;Bicentenario;51;http://www.boliviayp.com/company/78159/Chocomania;https://www.facebook.com/chocomania.fredes.1?fref=ts
DOULOS IMPORT EXPORT;Av. Chapisirca Nº 1001 Zona Tiquipaya;Internacional;65;NO TIENE;NO TIENE 
PASTILLAS 0;LOLA TABORGA DE REQUENA ZONA SARCO;Pastillas;1;NO TIENE;NO TIENE 
